spec-id,method-a,method-b,tst,dsi-verdict,manual-verdict,tags
00002,org.apache.commons.validator.Arg.setKey(Ljava/lang/String;)V,org.apache.commons.validator.Arg.getName()Ljava/lang/String;,org.apache.commons.validator.FieldTest#testDefaultUsingPositions,u,spurious-spec,METHOD_A_RETURNS_VOID;ONE_STATELESS_METHOD
00014,org.apache.commons.validator.Field.ensureArgsCapacity(Lorg/apache/commons/validator/Arg;)V,org.apache.commons.validator.Field.getDepends()Ljava/lang/String;,org.apache.commons.validator.RequiredNameTest#testRequired,u,spurious-spec,METHOD_A_RETURNS_VOID;ONE_STATELESS_METHOD;GOOD_EXAMPLE;DELAY_OF_A_CAUSES_UNEXPECTED_EXCEPTION
00015,org.apache.commons.validator.Field.ensureArgsCapacity(Lorg/apache/commons/validator/Arg;)V,org.apache.commons.validator.Field.getPage()I,org.apache.commons.validator.RequiredNameTest#testRequired,u,spurious-spec,METHOD_A_RETURNS_VOID;ONE_STATELESS_METHOD;DELAY_OF_A_CAUSES_UNEXPECTED_EXCEPTION
00016,org.apache.commons.validator.Field.ensureArgsCapacity(Lorg/apache/commons/validator/Arg;)V,org.apache.commons.validator.Field.getProperty()Ljava/lang/String;,org.apache.commons.validator.RequiredNameTest#testRequired,u,spurious-spec,METHOD_A_RETURNS_VOID;ONE_STATELESS_METHOD;DELAY_OF_A_CAUSES_UNEXPECTED_EXCEPTION
00017,org.apache.commons.validator.Field.ensureArgsCapacity(Lorg/apache/commons/validator/Arg;)V,org.apache.commons.validator.Field.getVarMap()Ljava/util/Map;,org.apache.commons.validator.RequiredNameTest#testRequired,u,spurious-spec,METHOD_A_RETURNS_VOID;ONE_STATELESS_METHOD;DELAY_OF_A_CAUSES_UNEXPECTED_EXCEPTION
00018,org.apache.commons.validator.Field.ensureArgsCapacity(Lorg/apache/commons/validator/Arg;)V,org.apache.commons.validator.Field.process(Ljava/util/Map;Ljava/util/Map;)V,org.apache.commons.validator.RequiredNameTest#testRequired,u,spurious-spec,METHOD_A_RETURNS_VOID;GOOD_EXAMPLE;DELAY_OF_A_CAUSES_UNEXPECTED_EXCEPTION
00019,org.apache.commons.validator.Field.ensureArgsCapacity(Lorg/apache/commons/validator/Arg;)V,org.apache.commons.validator.Field.runDependentValidators(Lorg/apache/commons/validator/ValidatorAction;Lorg/apache/commons/validator/ValidatorResults;Ljava/util/Map;Ljava/util/Map;I)Z,org.apache.commons.validator.RequiredNameTest#testRequired,u,spurious-spec,METHOD_A_RETURNS_VOID;UNRELATED_STATEFUL_METHODS;DELAY_OF_A_CAUSES_UNEXPECTED_EXCEPTION
00020,org.apache.commons.validator.Field.ensureArgsCapacity(Lorg/apache/commons/validator/Arg;)V,org.apache.commons.validator.Field.validate(Ljava/util/Map;Ljava/util/Map;)Lorg/apache/commons/validator/ValidatorResults;,org.apache.commons.validator.RequiredNameTest#testRequired,u,spurious-spec,METHOD_A_RETURNS_VOID;UNRELATED_STATEFUL_METHODS;DELAY_OF_A_CAUSES_UNEXPECTED_EXCEPTION
00021,org.apache.commons.validator.Field.ensureArgsCapacity(Lorg/apache/commons/validator/Arg;)V,org.apache.commons.validator.Field.validateForRule(Lorg/apache/commons/validator/ValidatorAction;Lorg/apache/commons/validator/ValidatorResults;Ljava/util/Map;Ljava/util/Map;I)Z,org.apache.commons.validator.RequiredNameTest#testRequired,u,spurious-spec,METHOD_A_RETURNS_VOID;UNRELATED_STATEFUL_METHODS;DELAY_OF_A_CAUSES_UNEXPECTED_EXCEPTION
00026,org.apache.commons.validator.Field.getKey()Ljava/lang/String;,org.apache.commons.validator.Field.getProperty()Ljava/lang/String;,org.apache.commons.validator.VarTest#testVars,u,spurious-spec,ORDER_OF_ASSERTIONS;UNRELATED_STATELESS_METHODS;MULTIPLE_PERTURBATIONS;REPLACEMENT_VALUE_UNCLEAR
