id,share-state(tool),original-dsi,updated-dsi,verdict,manual-tags,a-set-b-set,a-set-b-get,a-get-b-set,a-get-b-get,used-jdk?
00001,no,u,ls,spurious-spec,ORDER_OF_ASSERTIONS;REPLACE_RETURN_WITH_UNEXPECTED_OUTPUT;MULTIPLE_PERTURBATIONS;ONE_STATELESS_METHOD,0,0,0,0,no
00002,no,u,ls,spurious-spec,ORDER_OF_ASSERTIONS;REPLACE_RETURN_WITH_UNEXPECTED_OUTPUT;MULTIPLE_PERTURBATIONS;ONE_STATELESS_METHOD,0,0,0,0,no
00010,no,lv-ls,ls,true-spec,EXPECTED_EXCEPTION;WEAK_ORACLE;NULL_REPLACEMENT_CAUSED_NULLPOINTEREXCEPTION,0,0,0,0,no
00033,no,lv,ls,spurious-spec,EXPECTED_EXCEPTION;WEAK_ORACLE;REPLACEMENT_VALUE_UNCLEAR,0,0,0,0,no
00034,no,lv-ls,ls,spurious-spec,REPLACEMENT_VALUE_UNCLEAR,0,0,0,0,no
00035,no,lv,ls,spurious-spec,EXPECTED_EXCEPTION;REPLACEMENT_VALUE_UNCLEAR,0,0,0,0,no
00036,yes,u,u,spurious-spec,INSPECTION_TODO;REPLACEMENT_TRIGGERS_CHECK_THAT_PREVENTS_B;MULTIPLE_PERTURBATIONS;REPLACEMENT_VALUE_UNCLEAR,0,3,0,1,no
00038,yes,lv-u,lv-u,true-spec,REPLACE_RETURN_WITH_UNEXPECTED_OUTPUT;MULTIPLE_PERTURBATIONS,2,3,1,1,no
00039,no,u,ls,spurious-spec,ORDER_OF_ASSERTIONS;REPLACE_RETURN_WITH_UNEXPECTED_OUTPUT;ONE_STATELESS_METHOD,0,0,0,0,no
00040,no,u,ls,spurious-spec,ORDER_OF_ASSERTIONS;REPLACE_RETURN_WITH_UNEXPECTED_OUTPUT;ONE_STATELESS_METHOD,0,0,0,0,no
00041,no,u,ls,spurious-spec,ORDER_OF_ASSERTIONS;REPLACE_RETURN_WITH_UNEXPECTED_OUTPUT;MULTIPLE_PERTURBATIONS;ONE_STATELESS_METHOD,0,0,0,0,no
00042,no,u,ls,spurious-spec,ORDER_OF_ASSERTIONS;REPLACE_RETURN_WITH_UNEXPECTED_OUTPUT;MULTIPLE_PERTURBATIONS;ONE_STATELESS_METHOD,0,0,0,0,no
00043,no,u,ls,spurious-spec,ORDER_OF_ASSERTIONS;REPLACE_RETURN_WITH_UNEXPECTED_OUTPUT;ONE_STATELESS_METHOD,0,0,0,0,no
00044,no,u,ls,spurious-spec,ORDER_OF_ASSERTIONS;UNRELATED_STATELESS_METHODS;REPLACE_RETURN_WITH_UNEXPECTED_OUTPUT,0,0,0,0,no
00045,no,u,ls,spurious-spec,ORDER_OF_ASSERTIONS;REPLACE_RETURN_WITH_UNEXPECTED_OUTPUT;ONE_STATELESS_METHOD,0,0,0,0,no
00046,no,ls,ls,spurious-spec,REPLACE_RETURN_WITH_CORRECT_VALUE_NONASSERTION,0,0,0,0,no
00047,no,ls,ls,spurious-spec,ONE_STATELESS_METHOD;REPLACE_RETURN_WITH_CORRECT_VALUE_NONASSERTION,0,0,0,0,no
00049,no,ls,ls,spurious-spec,METHOD_A_RETURNS_VOID;WEAK_ORACLE,0,0,0,0,no
00050,no,ls,ls,spurious-spec,METHOD_A_RETURNS_VOID;MODIFIED_STATE_DOES_NOT_INTERSECT;WEAK_ORACLE,0,0,0,0,no
