method-a,method-b,verdict
org.apache.commons.codec.DecoderException.getMessage()Ljava/lang/String;,org.apache.commons.codec.DecoderException.getCause()Ljava/lang/Throwable;,spurious-spec
org.apache.commons.codec.EncoderException.getMessage()Ljava/lang/String;,org.apache.commons.codec.EncoderException.getCause()Ljava/lang/Throwable;,spurious-spec
org.apache.commons.codec.StringEncoder.encode(Ljava/lang/String;)Ljava/lang/String;,org.apache.commons.codec.language.DoubleMetaphone.cleanInput(Ljava/lang/String;)Ljava/lang/String;,no-break-pass (indirect)
org.apache.commons.codec.StringEncoder.encode(Ljava/lang/String;)Ljava/lang/String;,org.apache.commons.codec.language.DoubleMetaphone.doubleMetaphone(Ljava/lang/String;)Ljava/lang/String;,no-break-pass (direct)
org.apache.commons.codec.StringEncoder.encode(Ljava/lang/String;)Ljava/lang/String;,org.apache.commons.codec.language.DoubleMetaphone.doubleMetaphone(Ljava/lang/String;Z)Ljava/lang/String;,no-break-pass (indirect)
org.apache.commons.codec.StringEncoder.encode(Ljava/lang/String;)Ljava/lang/String;,org.apache.commons.codec.language.Metaphone.metaphone(Ljava/lang/String;)Ljava/lang/String;,no-break-pass (direct)
org.apache.commons.codec.StringEncoder.encode(Ljava/lang/String;)Ljava/lang/String;,org.apache.commons.codec.language.Nysiis.nysiis(Ljava/lang/String;)Ljava/lang/String;,no-break-pass (direct)
org.apache.commons.codec.StringEncoder.encode(Ljava/lang/String;)Ljava/lang/String;,org.apache.commons.codec.language.RefinedSoundex.soundex(Ljava/lang/String;)Ljava/lang/String;,no-break-pass (direct)
org.apache.commons.codec.StringEncoder.encode(Ljava/lang/String;)Ljava/lang/String;,org.apache.commons.codec.language.Soundex.soundex(Ljava/lang/String;)Ljava/lang/String;,no-break-pass (direct)
org.apache.commons.codec.binary.Base16.decode(Ljava/lang/Object;)Ljava/lang/Object;,org.apache.commons.codec.binary.BaseNCodec.decode(Ljava/lang/String;)[B,no-break-pass (direct)
org.apache.commons.codec.binary.Base16.decode(Ljava/lang/Object;)Ljava/lang/Object;,org.apache.commons.codec.binary.BaseNCodec.decode([B)[B,no-break-pass (direct)
org.apache.commons.codec.binary.Base16.decode([B)[B,org.apache.commons.codec.binary.Base16.decodeOctet(B)I,no-break-pass (indirect)
org.apache.commons.codec.binary.Base16.decode([B)[B,org.apache.commons.codec.binary.Base16.ensureBufferSize(ILorg/apache/commons/codec/binary/BaseNCodec$Context;)[B,no-break-pass (indirect)
org.apache.commons.codec.binary.Base16.decode([B)[B,org.apache.commons.codec.binary.Base16.isStrictDecoding()Z,no-break-pass (indirect)
org.apache.commons.codec.binary.Base16.decode([B)[B,org.apache.commons.codec.binary.Base16.validateTrailingCharacter()V,no-break-pass (indirect)
org.apache.commons.codec.binary.Base16.decode([B)[B,org.apache.commons.codec.binary.BaseNCodec.available(Lorg/apache/commons/codec/binary/BaseNCodec$Context;)I,no-break-pass (indirect)
org.apache.commons.codec.binary.Base16.decode([B)[B,org.apache.commons.codec.binary.BaseNCodec.decode([BIILorg/apache/commons/codec/binary/BaseNCodec$Context;)V,no-break-pass (direct)
org.apache.commons.codec.binary.Base16.decode([B)[B,org.apache.commons.codec.binary.BaseNCodec.getDefaultBufferSize()I,no-break-pass (indirect)
org.apache.commons.codec.binary.Base16.decode([B)[B,org.apache.commons.codec.binary.BaseNCodec.readResults([BIILorg/apache/commons/codec/binary/BaseNCodec$Context;)I,no-break-pass (direct)
org.apache.commons.codec.binary.Base16.encode(Ljava/lang/Object;)Ljava/lang/Object;,org.apache.commons.codec.binary.BaseNCodec.encode([B)[B,no-break-pass (direct)
org.apache.commons.codec.binary.Base16.encode(Ljava/lang/Object;)Ljava/lang/Object;,org.apache.commons.codec.binary.BaseNCodec.encode([BII)[B,no-break-pass (indirect)
org.apache.commons.codec.binary.Base16.encode([B)[B,org.apache.commons.codec.binary.Base16.ensureBufferSize(ILorg/apache/commons/codec/binary/BaseNCodec$Context;)[B,no-break-pass (indirect)
org.apache.commons.codec.binary.Base16.encode([B)[B,org.apache.commons.codec.binary.BaseNCodec.available(Lorg/apache/commons/codec/binary/BaseNCodec$Context;)I,no-break-pass (indirect)
org.apache.commons.codec.binary.Base16.encode([B)[B,org.apache.commons.codec.binary.BaseNCodec.encode([BII)[B,no-break-pass (direct)
org.apache.commons.codec.binary.Base16.encode([B)[B,org.apache.commons.codec.binary.BaseNCodec.getDefaultBufferSize()I,no-break-pass (direct)
org.apache.commons.codec.binary.Base16.encode([B)[B,org.apache.commons.codec.binary.BaseNCodec.readResults([BIILorg/apache/commons/codec/binary/BaseNCodec$Context;)I,no-break-pass (direct)
org.apache.commons.codec.binary.Base16.encode([BII)[B,org.apache.commons.codec.binary.Base16.ensureBufferSize(ILorg/apache/commons/codec/binary/BaseNCodec$Context;)[B,no-break-pass (indirect)
org.apache.commons.codec.binary.Base16.encode([BII)[B,org.apache.commons.codec.binary.BaseNCodec.available(Lorg/apache/commons/codec/binary/BaseNCodec$Context;)I,no-break-pass (indirect)
org.apache.commons.codec.binary.Base16.encode([BII)[B,org.apache.commons.codec.binary.BaseNCodec.encode([BIILorg/apache/commons/codec/binary/BaseNCodec$Context;)V,no-break-pass (direct)
org.apache.commons.codec.binary.Base16.encode([BII)[B,org.apache.commons.codec.binary.BaseNCodec.getDefaultBufferSize()I,no-break-pass (indirect)
org.apache.commons.codec.binary.Base16.encode([BII)[B,org.apache.commons.codec.binary.BaseNCodec.readResults([BIILorg/apache/commons/codec/binary/BaseNCodec$Context;)I,no-break-pass (direct)
org.apache.commons.codec.binary.Base16.ensureBufferSize(ILorg/apache/commons/codec/binary/BaseNCodec$Context;)[B,org.apache.commons.codec.binary.BaseNCodec.available(Lorg/apache/commons/codec/binary/BaseNCodec$Context;)I,spurious-spec
