id,share-state(tool),original-dsi,updated-dsi,verdict,manual-tags,a-set-b-set,a-set-b-get,a-get-b-set,a-get-b-get,used-jdk?
00001,no,u,ls,spurious-spec,NULL_REPLACEMENT_CAUSED_NULLPOINTEREXCEPTION;UNRELATED_STATELESS_METHODS,0,0,0,0,no
00002,no,u,ls,spurious-spec,ONE_STATELESS_METHOD;NULL_REPLACEMENT_CAUSED_NULLPOINTEREXCEPTION,0,0,0,0,no
00003,no,u,ls,spurious-spec,ONE_STATELESS_METHOD;NULL_REPLACEMENT_CAUSED_NULLPOINTEREXCEPTION,0,0,0,0,no
00009,no,ls,ls,spurious-spec,EXPECTED_EXCEPTION;WEAK_ORACLE;UNRELATED_STATEFUL_METHODS,0,0,0,0,no
00010,no,lv-ls,ls,true-spec,EXPECTED_EXCEPTION_NOT_THROWN;REPLACE_RETURN_WITH_CORRECT_VALUE_NONASSERTION,0,0,0,0,no
00011,no,lv-ls,ls,true-spec,EXPECTED_EXCEPTION_NOT_THROWN;REPLACE_RETURN_WITH_CORRECT_VALUE_NONASSERTION,0,0,0,0,no
00015,no,u,ls,spurious-spec,,0,0,0,0,no
00016,no,u,ls,spurious-spec,UNRELATED_STATEFUL_METHODS,0,0,0,0,no
00017,no,u,ls,spurious-spec,REPLACEMENT_TRIGGERS_CHECK_THAT_PREVENTS_B,0,0,0,0,no
00018,no,u,ls,spurious-spec,REPLACE_RETURN_WITH_UNEXPECTED_OUTPUT;ORDER_OF_ASSERTIONS;GOOD_EXAMPLE;UNRELATED_STATELESS_METHODS;REPLACEMENT_VALUE_UNCLEAR,0,0,0,0,no
00019,no,u,ls,spurious-spec,ORDER_OF_ASSERTIONS;UNRELATED_STATELESS_METHODS;REPLACE_RETURN_WITH_UNEXPECTED_OUTPUT;REPLACEMENT_VALUE_UNCLEAR,0,0,0,0,no
00020,no,ls-u,ls,spurious-spec,REPLACE_RETURN_WITH_UNEXPECTED_OUTPUT;ORDER_OF_ASSERTIONS;REPLACE_RETURN_WITH_EXPECTED_OUTPUT;UNRELATED_STATELESS_METHODS;REPLACEMENT_VALUE_UNCLEAR,0,0,0,0,no
00021,no,ls-u,ls,spurious-spec,REPLACE_RETURN_WITH_UNEXPECTED_OUTPUT;ORDER_OF_ASSERTIONS;REPLACE_RETURN_WITH_EXPECTED_OUTPUT;UNRELATED_STATELESS_METHODS;REPLACEMENT_VALUE_UNCLEAR,0,0,0,0,no
00022,no,ls-u,ls,spurious-spec,REPLACE_RETURN_WITH_UNEXPECTED_OUTPUT;ORDER_OF_ASSERTIONS;REPLACE_RETURN_WITH_EXPECTED_OUTPUT;UNRELATED_STATELESS_METHODS;REPLACEMENT_VALUE_UNCLEAR,0,0,0,0,no
00023,yes,ls,ls,sometimes-true-spec,METHOD_A_RETURNS_VOID;WEAK_ORACLE;SOMETIMES_TRUE_SPEC,0,1,0,5,yes
00025,yes,lv-ls,lv-ls,sometimes-true-spec,METHOD_A_RETURNS_VOID;EXPECTED_EXCEPTION;WEAK_ORACLE;SOMETIMES_TRUE_SPEC,0,1,0,5,yes
