spec-id,method-a,method-b,tst,dsi-verdict,manual-verdict,tags
00001,org.joda.convert.AnnotationStringConverterFactory.eliminateEnumSubclass(Ljava/lang/Class;)Ljava/lang/Class;,org.joda.convert.AnnotationStringConverterFactory.findFromStringConstructor(Ljava/lang/Class;Ljava/lang/reflect/Method;)Lorg/joda/convert/MethodConstructorStringConverter;,org.joda.convert.TestStringConvert#test_convert_annotation_ToStringOnInterface,u,spurious-spec,NULL_REPLACEMENT_CAUSED_NULLPOINTEREXCEPTION;UNRELATED_STATELESS_METHODS
00002,org.joda.convert.AnnotationStringConverterFactory.eliminateEnumSubclass(Ljava/lang/Class;)Ljava/lang/Class;,org.joda.convert.AnnotationStringConverterFactory.findFromString(Ljava/lang/Class;)Ljava/lang/reflect/Method;,org.joda.convert.TestStringConvert#test_convert_annotation_ToStringOnInterface,u,spurious-spec,ONE_STATELESS_METHOD;NULL_REPLACEMENT_CAUSED_NULLPOINTEREXCEPTION
00003,org.joda.convert.AnnotationStringConverterFactory.eliminateEnumSubclass(Ljava/lang/Class;)Ljava/lang/Class;,org.joda.convert.AnnotationStringConverterFactory.findFromStringMethod(Ljava/lang/Class;Ljava/lang/reflect/Method;Z)Lorg/joda/convert/MethodsStringConverter;,org.joda.convert.TestStringConvert#test_convert_annotation_ToStringOnInterface,u,spurious-spec,ONE_STATELESS_METHOD;NULL_REPLACEMENT_CAUSED_NULLPOINTEREXCEPTION
00015,org.joda.convert.AnnotationStringConverterFactory.findToStringMethod(Ljava/lang/Class;)Ljava/lang/reflect/Method;,org.joda.convert.AnnotationStringConverterFactory.findFromStringConstructor(Ljava/lang/Class;Ljava/lang/reflect/Method;)Lorg/joda/convert/MethodConstructorStringConverter;,org.joda.convert.TestStringConvert#test_convert_annotation_ToStringOnInterface,u,spurious-spec,
00016,org.joda.convert.AnnotationStringConverterFactory.findToStringMethod(Ljava/lang/Class;)Ljava/lang/reflect/Method;,org.joda.convert.AnnotationStringConverterFactory.findFromString(Ljava/lang/Class;)Ljava/lang/reflect/Method;,org.joda.convert.TestStringConvert#test_convert_annotation_ToStringOnInterface,u,spurious-spec,UNRELATED_STATEFUL_METHODS
00017,org.joda.convert.AnnotationStringConverterFactory.findToStringMethod(Ljava/lang/Class;)Ljava/lang/reflect/Method;,org.joda.convert.AnnotationStringConverterFactory.findFromStringMethod(Ljava/lang/Class;Ljava/lang/reflect/Method;Z)Lorg/joda/convert/MethodsStringConverter;,org.joda.convert.TestStringConvert#test_convert_annotation_ToStringOnInterface,u,spurious-spec,REPLACEMENT_TRIGGERS_CHECK_THAT_PREVENTS_B
00018,org.joda.convert.EnumStringConverterFactory$EnumStringConverter.convertToString(Ljava/lang/Enum;)Ljava/lang/String;,org.joda.convert.EnumStringConverterFactory$EnumStringConverter.convertFromString(Ljava/lang/Class;Ljava/lang/String;)Ljava/lang/Enum;,org.joda.convert.TestJDKStringConverters#test_Enum,u,spurious-spec,REPLACE_RETURN_WITH_UNEXPECTED_OUTPUT;ORDER_OF_ASSERTIONS;GOOD_EXAMPLE;UNRELATED_STATELESS_METHODS;REPLACEMENT_VALUE_UNCLEAR
00019,org.joda.convert.EnumStringConverterFactory$EnumStringConverter.convertToString(Ljava/lang/Enum;)Ljava/lang/String;,org.joda.convert.TypedStringConverter.convertFromString(Ljava/lang/Class;Ljava/lang/String;)Ljava/lang/Object;,org.joda.convert.TestJDKStringConverters#test_Enum,u,spurious-spec,ORDER_OF_ASSERTIONS;UNRELATED_STATELESS_METHODS;REPLACE_RETURN_WITH_UNEXPECTED_OUTPUT;REPLACEMENT_VALUE_UNCLEAR
00057,org.joda.convert.StringConverter.convertFromString(Ljava/lang/Class;Ljava/lang/String;)Ljava/lang/Object;,org.joda.convert.StringConverter.convertToString(Ljava/lang/Object;)Ljava/lang/String;,org.joda.convert.TestStringConvert#test_findConverterNoGenerics,u,spurious-spec,ORDER_OF_ASSERTIONS;UNRELATED_STATEFUL_METHODS;REPLACE_RETURN_WITH_UNEXPECTED_OUTPUT
00059,org.joda.convert.StringConverter.convertToString(Ljava/lang/Object;)Ljava/lang/String;,org.joda.convert.StringConverter.convertFromString(Ljava/lang/Class;Ljava/lang/String;)Ljava/lang/Object;,org.joda.convert.TestStringConvert#test_register_FunctionalInterfaces,u,spurious-spec,ORDER_OF_ASSERTIONS;UNRELATED_STATEFUL_METHODS;REPLACE_RETURN_WITH_UNEXPECTED_OUTPUT
